,genre,occurances
0,rock,611
1,pop,593
2,dance pop,572
3,rap,516
4,hip hop,507
5,pop rap,482
6,modern rock,400
7,pop rock,400
8,country rock,394
9,urban contemporary,383
10,folk rock,381
11,latin,380
12,soft rock,372
13,trap,361
14,mellow gold,358
15,funk,351
16,classic rock,335
17,adult standards,335
18,pop dance,333
19,indie pop,324
20,album rock,322
21,alternative rock,322
22,southern hip hop,322
23,indie rock,317
24,gangster rap,312
25,alternative metal,301
26,country,299
27,new wave pop,298
28,regional mexican,298
29,soul,296
30,r&b,294
31,post-teen pop,290
32,tropical,286
33,quiet storm,281
34,folk,272
35,art rock,269
36,hard rock,269
37,dance rock,265
38,classical performance,260
39,roots rock,259
40,edm,256
41,brill building pop,242
42,indie folk,239
43,electropop,238
44,contemporary country,238
45,hip pop,237
46,blues rock,234
47,underground hip hop,234
48,corrido,231
49,stomp and holler,227
50,motown,224
51,classic soul,219
52,punk,217
53,latin pop,216
54,show tunes,211
55,new wave,207
56,traditional folk,206
57,disco,206
58,nu metal,205
59,country road,202
60,hardcore hip hop,200
61,pop punk,191
62,cool jazz,190
63,new jack swing,190
64,neo soul,188
65,hollywood,187
66,lounge,187
67,classical,185
68,rock-and-roll,183
69,bebop,182
70,neo mellow,181
71,modern alternative rock,179
72,psychedelic rock,176
73,alternative hip hop,176
74,jazz,175
75,reggaeton,175
76,new romantic,173
77,new americana,172
78,dirty south rap,171
79,soul jazz,170
80,metal,170
81,classic uk pop,169
82,vocal jazz,168
83,electro house,167
84,contemporary post-bop,163
85,indie poptimism,162
86,nuevo regional mexicano,161
87,tropical house,161
88,latin hip hop,160
89,hard bop,159
90,bubblegum pop,158
91,filmi,158
92,electronica,157
93,jazz funk,156
94,trap latino,155
95,post-disco,152
96,movie tunes,151
97,big band,151
98,ccm,150
99,rock en espanol,150
100,worship,150
101,christian music,149
102,alternative r&b,146
103,art pop,144
104,southern soul,144
105,east coast hip hop,144
106,broadway,140
107,europop,140
108,atl hip hop,140
109,jazz fusion,139
110,opera,139
111,orchestral performance,134
112,lilith,132
113,easy listening,131
114,rhythm and blues,130
115,rap rock,130
116,blues,129
117,freak folk,129
118,swing,129
119,alternative dance,128
120,christian alternative rock,125
121,dance-punk,123
122,indie soul,123
123,singer-songwriter,122
124,emo,121
125,salsa,120
126,reggae,119
127,pop r&b,117
128,permanent wave,117
129,post-punk,116
130,stride,115
131,modern country rock,115
132,c-pop,115
133,latin alternative,112
134,electric blues,112
135,rockabilly,112
136,norteno,112
137,vapor trap,110
138,alternative country,109
139,ska,108
140,new rave,108
141,emo rap,106
142,classical piano,105
143,comic,105
144,pub rock,105
145,gospel,103
146,hip house,103
147,doo-wop,102
148,texas country,101
149,post-grunge,99
150,screamo,99
151,anthem worship,99
152,experimental,99
153,post-hardcore,98
154,indie garage rock,98
155,merseybeat,98
156,glam metal,98
157,roots reggae,97
158,jam band,97
159,soundtrack,97
160,latin rock,96
161,skate punk,96
162,indiecoustica,95
163,jazz saxophone,95
164,reggaeton flow,95
165,latin jazz,95
166,smooth jazz,95
167,bossa nova,95
168,synthpop,95
169,acoustic pop,94
170,orchestra,94
171,traditional blues,92
172,viral pop,92
173,progressive bluegrass,91
174,metalcore,91
175,sleep,91
176,yacht rock,91
177,indietronica,90
178,classic bollywood,90
179,electro,90
180,progressive house,89
181,symphonic rock,89
182,melodic metalcore,89
183,chillwave,88
184,uk post-punk,88
185,children's music,88
186,country pop,87
187,world worship,87
188,classical soprano,86
189,melodic rap,86
190,compositional ambient,86
191,sufi,84
192,deep regional mexican,83
193,grupera,83
194,otacore,82
195,banda,81
196,redneck,80
197,cali rap,79
198,sad rap,78
199,pop edm,78
200,mpb,78
201,vapor soul,78
202,big room,78
203,disney,78
204,rock steady,77
205,k-pop,77
206,industrial metal,77
207,turntablism,77
208,power pop,76
209,social media pop,76
210,heartland rock,76
211,west coast rap,76
212,house,76
213,scorecore,76
214,outlaw country,75
215,classic mandopop,75
216,conscious hip hop,75
217,escape room,74
218,shimmer pop,74
219,salsa international,74
220,classic soundtrack,74
221,new age,73
222,modern bollywood,72
223,modern blues rock,72
224,mexican pop,72
225,country dawn,72
226,lo-fi beats,71
227,melancholia,71
228,progressive rock,70
229,old school hip hop,70
230,metropopolis,70
231,lovers rock,70
232,chanson,70
233,bluegrass,70
234,samba,69
235,trip hop,69
236,dub,69
237,dark trap,68
238,ranchera,68
239,indie cafe pop,68
240,anti-folk,68
241,hardcore punk,68
242,southern rock,67
243,punk blues,66
244,classic garage rock,66
245,desi pop,66
246,deep new americana,65
247,neon pop punk,65
248,piano rock,64
249,west coast trap,64
250,cumbia sonidera,64
251,ska punk,64
252,environmental,63
253,classic country pop,63
254,modern blues,63
255,nu gaze,62
256,eurodance,62
257,free jazz,61
258,appalachian folk,61
259,jazz piano,61
260,mandopop,61
261,g funk,61
262,nu jazz,60
263,post-romantic era,60
264,british blues,59
265,disco house,59
266,old-time,59
267,lo-fi,59
268,early modern classical,58
269,bolero,58
270,latin christian,58
271,tejano,58
272,opm,58
273,chicago rap,57
274,reggae fusion,57
275,latin arena pop,57
276,crunk,57
277,pop romantico,56
278,electronic trap,56
279,downtempo,56
280,alternative pop,56
281,classic cantopop,56
282,velha guarda,56
283,garage rock,56
284,country rap,55
285,dancehall,55
286,sierreno,55
287,melodic hardcore,55
288,protopunk,54
289,avant-garde jazz,54
290,funk metal,54
291,gruperas inmortales,54
292,mariachi,53
293,industrial rock,53
294,british invasion,53
295,spanish pop,53
296,christian rock,53
297,australian pop,53
298,grunge,52
299,pop emo,52
300,boy band,52
301,indie r&b,52
302,alternative emo,52
303,glam rock,52
304,jazz trumpet,52
305,freakbeat,51
306,contemporary jazz,51
307,canadian indie,51
308,christian pop,51
309,indie anthem-folk,51
310,classic italian pop,51
311,uk pop,51
312,meme rap,50
313,britpop,50
314,chicano rap,50
315,big beat,50
316,canadian pop,50
317,merengue,50
318,chillhop,50
319,gbvfi,50
320,late romantic era,49
321,american folk revival,49
322,progressive electro house,49
323,ghazal,48
324,old school dancehall,48
325,hyphy,48
326,jazz guitar,48
327,comedy,48
328,sophisti-pop,48
329,jawaiian,48
330,latin worship,48
331,background music,48
332,indie punk,47
333,classic canadian rock,47
334,chamber psych,47
335,french pop,47
336,chamber pop,47
337,rebetiko,47
338,j-poprock,46
339,hawaiian,46
340,celtic,46
341,acoustic blues,46
342,dream pop,46
343,j-pop,45
344,world,45
345,reggae rock,45
346,trance,45
347,death metal,45
348,choral,45
349,trap queen,45
350,power metal,45
351,shoegaze,45
352,folk-pop,45
353,philly soul,45
354,progressive trance,44
355,old school thrash,44
356,cantopop,44
357,early music,44
358,historic orchestral performance,44
359,classical bass,44
360,la indie,44
361,neo-psychedelic,44
362,rap metal,44
363,classical tenor,44
364,argentine rock,44
365,torch song,44
366,video game music,44
367,ambient,43
368,dominican pop,43
369,dreamo,43
370,afropop,43
371,bubblegum dance,43
372,industrial,43
373,vapor twitch,43
374,nashville sound,43
375,modern funk,43
376,jazz blues,43
377,violin,43
378,chicago blues,43
379,bow pop,43
380,indian classical,42
381,thrash metal,42
382,exotica,42
383,uplifting trance,42
384,experimental rock,42
385,underground rap,42
386,afrobeat,41
387,mexican rock-and-roll,41
388,vintage chanson,41
389,nueva cancion,41
390,gothic rock,41
391,space age pop,41
392,pixie,41
393,freestyle,40
394,neo-classical,40
395,girl group,40
396,banjo,40
397,cantautor,40
398,australian rock,40
399,red dirt,40
400,funk rock,40
401,british folk,40
402,vocal house,39
403,italian adult pop,39
404,miami hip hop,39
405,contemporary gospel,39
406,focus,39
407,baroque pop,39
408,post-screamo,39
409,viral rap,38
410,trap soul,38
411,candy pop,38
412,country blues,38
413,bachata,38
414,traditional country,38
415,classic opm,38
416,indie electropop,38
417,vintage chinese pop,38
418,deep adult standards,37
419,oklahoma country,37
420,mexican rock,37
421,bronx hip hop,37
422,ragtime,37
423,neo classical metal,37
424,deep indian pop,37
425,groove metal,37
426,vintage jazz,37
427,bedroom pop,37
428,meditation,37
429,fourth world,36
430,noise pop,36
431,perreo,36
432,chamber orchestra,36
433,folk punk,36
434,rumba,36
435,irish folk,36
436,beatlesque,36
437,bass trap,35
